doc_id,title,year,source_type,source_name,authors,ingredient,matrix_ids,population_context,evidence_scope,overall_evidence_quality,access_type,reference,notes
DOC_001,"International Society of Sports Nutrition position stand: safety and efficacy of creatine supplementation in exercise, sport, and medicine",2017,position_stand,JISSN / PubMed,Kreider et al.,creatine_monohydrate,M01|M02|M03,mixed,strength|power_high_intensity_performance|lean_mass_gain,high,open_access,https://pubmed.ncbi.nlm.nih.gov/28615996/,"Documento ancla de creatina para rendimiento, fuerza, alta intensidad y masa magra."
DOC_002,Effects of Creatine Supplementation Combined with Resistance Training on Muscle Strength: A Systematic Review and Meta-Analysis,2024,meta_analysis,PubMed,Wang et al.,creatine_monohydrate,M01,mixed,strength,high,open_access,https://pubmed.ncbi.nlm.nih.gov/39519498/,Muy alineado con fuerza en entrenamiento de resistencia.
DOC_004,International society of sports nutrition position stand: caffeine and exercise performance,2021,position_stand,JISSN / PubMed,Guest et al.,caffeine,M04|M05,mixed,perceived_energy_fatigue_reduction|endurance_exercise_performance,high,open_access,https://pubmed.ncbi.nlm.nih.gov/33388079/,Documento ancla de cafeína; muy útil para dosis y veredictos.
DOC_006,Caffeine and rating of perceived exertion during exercise: a meta-analysis,2005,meta_analysis,PubMed,Doherty & Smith,caffeine,M04,mixed,perceived_energy_fatigue_reduction,moderate,open_access,https://pubmed.ncbi.nlm.nih.gov/15773860/,Muy útil para conectar cafeína con RPE/fatiga percibida.
DOC_007,Whey protein supplementation and its potentially beneficial effects on recovery from resistance exercise,2018,systematic_review,PubMed,Davies et al.,whey_protein,M07,recreationally_active_adults,post_exercise_recovery,high,open_access,https://pubmed.ncbi.nlm.nih.gov/29462923/,Pieza central whey-específica para recuperación.
DOC_008,Dietary protein supplementation and recovery from resistance exercise-induced muscle damage: a systematic review with meta-analysis,2023,meta_analysis,PubMed,Pearson et al.,whey_protein,M07,mixed,post_exercise_recovery,moderate,open_access,https://pubmed.ncbi.nlm.nih.gov/36513777/,Apoyo de recuperación a nivel proteína; no whey aislado.
DOC_009,"A systematic review, meta-analysis and meta-regression of the effect of protein supplementation on resistance training-induced gains in muscle mass and strength in healthy adults",2018,meta_analysis,PubMed,Morton et al.,whey_protein,M08,healthy_adults,lean_mass_gain,high,open_access,https://pubmed.ncbi.nlm.nih.gov/28698222/,Base fuerte para masa magra con suplementación proteica.
